MODE,Mode Description,STAGE (min),STAGE (max),AGE (min) Ga,AGE (max) Ga,AGE (average) Ga,Temp (min) K,Temp (max) K,Temp (average) K,P (min) log Pa,P (max) log Pa,P (average log Pa),DUR (min) log Yr,DUR (max) log Yr,DUR (average log Yr),# Minerals,# Elements,Aqueous?,Biotic?,ChemIG Atom,ChemIG Total,StrIG Atom,StrIG Total,Hardness (HoM),Hardness (Web Max),Hardness (Average),Calc Density (gm/cm3),Web Density (gm/cm3),Density (Average)
P25,Evaporite mineraization,3,10,4.56,0,2.28,250,350,300,5,5,5,-4,-2,-3,210,30,1,0,1.654,70.475,3.842,391.75,3.7172619047619,3.6948051948052,3.71,2.5340351351351,2.3723076923077,2.45
P26,Detrital deposition,4,10,4.5,0,2.25,250,350,300,5,5,5,-3,-1,-2,250,52,1,0,1.263,29.352,2.193,110.02,5.8148148148148,5.7087912087912,5.76,6.8432806122449,5.1060869565217,5.97
P27,Radioactive alteration,4,10,4.5,0,2.25,250,350,300,5,6,5.5,6,9,7.5,9,6,0,0,1.513,105.7,5.57,1797.6,4.2,4,4.1,5.659,6.42,6.04
P28,Phot-alteration,4,10,4.5,0,2.25,250,350,300,5,5,5,-3,1,-1,10,14,0,0,1.412,18.22,2.656,92.037,3.2,3.125,3.16,3.6018,3.134,3.4
P29,Lightning alteration,3,10,4.56,0,2.28,2000,4000,3000,5,5,5,-8,-7,-7.5,9,11,0,0,0.781,4.66,1.253,27.705,4.5,3.8333333333333,4.17,5.1917142857143,,5.19
P30,Terrestrial impact alteration,3,10,4.56,0,2.28,1000,5000,3000,9,12,10.5,-7,-5,-6,40,14,0,0,0.897,9.207,1.109,29.912,6.5,5.875,6.19,4.2861666666667,3.81,4.05
P31,Thermal alteration/metamorphism,3,10,4.5,0,2.25,500,1300,900,5,9,7,6,8,7,356,42,0,0,1.702,65.834,3.553,298.09,5.3312,5.2010309278351,5.18,3.5182041522491,3.42875,3.47
P32,Ba/Mn/Pb/Zn deposits,3,10,3,0,1.5,500,1300,900,6,9,7.5,6,8,7,412,40,0,0,1.711,62.635,3.673,331.2,5.0169491525424,5.0252100840336,5.02,3.9744,3.6805,3.83
P33,"Hydrothermal, post plate tectonics",5,10,3,0,1.5,400,1000,700,5,7,6,1,4,2.5,797,48,1,0,1.359,31.99,2.58,172.65,3.4946428571429,3.6711538461538,3.58,6.8685237366003,6.2831547619048,5.76
P34,Complex granite pegmatites,5,10,3,0,1.5,600,1100,850,7,9,8,5,7,6,564,43,0,0,1.64,51.623,3.314,237.63,5.3530150753769,5.3168674698795,5.33,4.125811627907,3.8064893617021,4
P35,Alkaline igneous rocks/pegmatites,5,10,3,0,1.5,900,1100,1000,8,10,9,5,7,6,726,39,0,0,1.808,88.56,3.78,324.32,5.1135593220339,5.1190476190476,5.12,3.3295750915751,3.218359375,3.27
P36,Carbonatites,5,10,3,0,1.5,800,1000,900,5,9,7,2,6,4,291,47,0,0,1.393,31.98,2.422,127.52,5.25,5.3122641509434,5.28,4.6855550847458,3.5303333333333,4.11
P37,Layered igneous intrusions,5,10,3.2,0,1.6,1100,1500,1300,8,10,9,6,7,6.5,135,36,0,0,1.078,11.024,1.635,53.416,5.0166666666667,5.046511627907,5.03,9.4922452830189,7.4366666666667,8.46
P38,Ophiolites,5,10,3,0,1.5,400,600,500,8,10,9,6,7,6.5,108,40,0,0,1.06,31.816,1.833,133.26,5.1666666666667,4.6477272727273,4.91,6.1803636363636,3.5568421052632,4.87
P39,High-pressure metamorphism,5,10,3,0,1.5,700,1300,1000,9,10,9.5,6,7,6.5,70,23,0,0,1.628,42.051,3.334,225.19,6,6.2222222222222,6.11,3.4177142857143,3.2961290322581,3.6
P40,Regional metamorphism,5,10,3,0,1.5,500,1200,850,8,10,9,7,8,7.5,319,40,0,0,1.65,55.941,3.224,194.43,5.7388888888889,5.5423728813559,5.64,3.56658203125,3.359243697479,3.46
P41,Mantle metasomatism,5,10,4,0,2,1200,1700,1450,9,10,9.5,6,7,6.5,16,13,1,0,1.465,35.425,2.822,138.07,6.5625,6.1,6.33,3.5051875,3.4525,3.48
P42,Seafloor nodules,6,10,3,0,1.5,270,330,300,6,8,7,1,5,3,15,20,1,0,1.46,78.483,2.627,108.82,4.5,5,4.75,3.8615,3.2525,3.56
P43,Shear-induced minerals,5,10,4,0,2,300,500,400,5,6,5.5,-1,0,-1,9,14,0,0,1.58,48.382,3.5,157.1,4.625,2.5,3.56,2.7217777777778,2.7625,2.74
P44,Anoxic biomineralization,6,10,4,0,2,250,350,300,5,5,5,-1,1,0,11,10,1,1,1.098,9.843,1.549,29.894,4.84375,4.8333333333333,4.84,3.7829090909091,,3.78
P45,Volcanic fumarole minerals (oxidized),7,10,2.5,0,1.25,400,900,650,5,5,5,-3,-1,-2,424,37,1,0,1.59,47.19,3.313,281.55,3.478,3.217,3.35,3.3065,3.1549,3.23
P46,Oxidized hydrothermal minerals,7,10,2.5,0,1.25,400,1000,700,5,7,6,-3,1,-1,52,33,1,1,1.723,56.905,3.432,241.75,3.6,3.5333333333333,3.57,3.4947234042553,3.7788235294118,3.64
P47,Oxidative weathering,7,10,2.5,0,1.25,250,350,300,5,6,5.5,-3,1,-1,1998,55,1,1,1.662,70.426,3.785,403.99,3.478,3.441,3.46,3.959,3.858,3.91
P48,Soil minerals,10,10,0.4,0,0.2,250,350,300,5,6,5.5,-1,1,0,71,28,1,1,1.631,79.741,3.438,247.21,4.2291666666667,3.75,3.99,3.1675689655172,2.6633333333333,2.92
P49,Phanerozoic biomineralization,10,10,0.54,0,0.27,270,370,320,5,8,6.5,-3,1,-0.5,77,27,1,1,1.338,29.703,2.842,208.14,3.8269230769231,3.6388888888889,3.73,3.5773888888889,2.9115,3.24
P50,Coal minerals,10,10,0.3,0,0.15,300,500,400,6,8,7,0,5,2.5,280,42,1,1,1.372,36.44,2.897,243.2,4.2369791666667,3.875,4.06,3.3825857740586,2.8036144578313,3.09
P51,Pyrometamorphic (gas fire) minerals,10,10,0.2,0,0.1,1000,2000,1500,5,5,5,-3,4,0.5,128,31,0,1,1.478,37.504,2.756,162.9,5.4871794871795,5.6176470588235,5.55,3.6854708737864,3.1011538461538,3.39
P52,Guano/urine-derived minerals,10,10,0.3,0,0.15,250,350,300,5,5,5,-3,2,-0.5,72,18,1,1,1.7,49.19,3.752,318.63,3.5,2.7291666666667,3.11,2.3185,2.3558333333333,2.34
P53,Taphonomic minerals,10,10,0.45,0,0.225,250,350,300,5,6,5.5,0,2,1,117,35,1,1,1.515,56.71,3.483,307.01,4.0428571428571,3.8,3.92,3.3787419354839,3.0666666666667,3.22
P54,Mine-fire minerals,11,11,0.00001,0,0,800,1500,1150,5,5,5,-3,1,-1,234,39,1,1,1.348,34.354,2.731,207.89,4.289156626506,3.93125,4.11,3.489818627451,2.9387301587302,3.21
P55,Secondary mine minerals,11,11,0.00001,0,0,300,400,350,5,5,5,0,2,1,264,34,1,1,1.592,73.365,4.278,563.8,3.1814516129032,3.2152777777778,3.1,3.1678849137931,2.9337704918033,3.05
P56,Slag minerals,11,11,0.00001,0,0,1000,2000,1500,5,5,5,0,2,1,143,32,0,1,1.611,43.338,3.255,243.56,3.3833333333333,3.3181818181818,3.35,4.3704921875,4.0458333333333,4.21
P57,Other human-derived minerals,11,11,0.00001,0,0,300,1000,650,5,5,5,0,2,1,49,24,1,1,1.584,35.754,3.25,246.24,3.875,3.4722222222222,3.67,4.1570625,3.9380952380952,4.05
