"mineral name","point group","space group"
"Ahrensite","4/m32/m","Fd3m"
"Ahrensite","4/m32/m","Fd3m"
"Ahrensite","4/m32/m","Fd3m"
"Ahrensite","4/m32/m","Fd3m"
"Ahrensite","4/m32/m","Fd3m"
"Aikinite"," "," "
"Aikinite","2/m2/m2/m","Pnma"
"Aikinite","2/m2/m2/m","Pnma"
"Aiolosite","6/m","P63/m"
"Aiolosite","6/m","P63/m"
"Airdite","m","Cc"
"Airdite","m","Cc"
"Ajoite"," "," "
"Ajoite",1,"P1"
"Akaganeite","2/m","I2/m"
"Akaganeite","4/m","I4/m"
"Akaganeite","2/m","I2/m"
"Akaganeite","4/m","I4/m"
"Akaganeite","2/m","C2/m"
"Akaganeite","2/m","I2/m"
"Akaganeite","4/m","I4/m"
"Akaganeite","2/m","C2/m"
"Akaganeite","2/m","I2/m"
"Akaganeite","2/m","I2/m"
"Akaganeite","4/m","I4/m"
"Akaganeite","2/m","C2/m"
"Akaganeite","4/m","I4/m"
"Akaganeite","2/m","C2/m"
"Akaganeite","2/m","I2/m"
"Akaganeite","4/m","I4/m"
"Akaganeite","2/m","C2/m"
"Akaganeite","2/m","I2/m"
"Akaganeite","2/m","I2/m"
"Akaganeite","4/m","I4/m"
"Akaganeite","2/m","I2/m"
"Akaganeite","2/m","I2/m"
"Akaogiite","2/m","P21/c"
"Akatoreite"," "," "
"Akatoreite"," "," "
"Akatoreite",1,"P1"
"Akdalaite"," "," "
"Akdalaite","6mm","P63mc"
"Akdalaite","2mm","Cmc21"
"Akdalaite","3mm","P31c"
"Akdalaite","6mm","P63mc"
"Akermanite"," "," "
"Akermanite"," "," "
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","2/m","P21/n"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akermanite","42m","P421m"
"Akhtenskite"," "," "
"Akhtenskite","6mm","P63mc"
"Akimotoite",3,"R3"
"Akimotoite"," "," "
"Akimotoite",3,"R3"
"Aklimaite","2/m","C2/m"
"Aklimaite","2/m","C2/m"
"Akopovaite","2/m","C2/m"
"Akrochordite"," "," "
"Akrochordite","2/m","P21/c"
"Aksaite"," "," "
"Aksaite","2/m2/m2/m","Pbca"
"Aktashite",3,"R3"
"Aktashite",3,"R3"
"Aktashite",3,"R3"
"Alabandite"," "," "
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alabandite","4/m32/m","Fm3m"
"Alacranite","2/m","P2/c"
"Alacranite"," "," "
"Alacranite"," "," "
"Alacranite","2/m","P2/c"
"Alacranite","2/m","P2/c"
"Alamosite","2/m","P2/n"
"Alamosite"," "," "
"Alamosite","2/m","P2/n"
"Alarsite"," "," "
"Alarsite",322,"P3121"
"Alarsite",322,"P3121"
"Alarsite",322,"P3121"
"Alarsite",322,"P3121"
"Alarsite",322,"P3121"
"Alarsite",322,"P3121"
"Albertiniite","2/m","P21/n"
"Albertiniite","2/m","P21/n"
"Albertiniite","2/m","P21/n"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite"," "," "
"Albite"," "," "
"Albite"," "," "
"Albite"," "," "
"Albite"," "," "
"Albite"," "," "
"Albite"," "," "
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite","2/m","C2/m"
"Albite",1,"C1"
"Albite","2/m","C2/m"
"Albite",1,"C1"
"Albite","2/m","C2/m"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
"Albite",1,"C1"
