,mineral name,point group,space group
3407,Calcite,1,P1
3410,Calcite,32/m2/m,R3c
3424,Calcite,3mm,R3c
3429,Calcite,32/m2/m,R32/c
3463,Calclacite,2/m,P21/a
3465,Calclacite,2/m,P21/c
3470,Calcybeborosilite-(Y),2/m,P21/a
3472,Calderite,4/m32/m,Ia3d
3473,Calderonite,2/m,P21/m
3479,Caledonite,2mm,Pmn21
3481,Calkinsite-(Ce),222,P21221
3484,Callaghanite,2/m,C2/c
3486,Calomel,4/m2/m2/m,I4/mmm
3491,Calumetite,2/m2/m2/m,Cmcm
3494,Calzirtite,4/m2/m2/m,I41/acd
3499,Calzirtite,2/m2/m2/m,Pbca
3501,Camanchacaite,2/m,C2/c
3502,Camaraite,1,C1
3504,Camaronesite,322,R32
3508,Camerolaite,1,P1
3509,Camerolaite,1,C1
3514,Cameronite,2/m,C2/c
3516,Camgasite,2/m,P21/m
3517,Caminite,4/m2/m2/m,I41/amd
3520,Campigliaite,2,C2
3521,Campostriniite,2/m,C2/c
3522,Canaphite,m,Pc
3523,Canasite,m,Cm
3528,Cancrinite,6,P63
3574,Cancrisilite,6mm,P63mc
3578,Canfieldite,43m,F43m
3579,Cannizzarite,2/m,P21/m
3582,Cannonite,2/m,P21/c
3586,Canosioite,2/m,P21/m
3587,Canutite,2/m,C2/c
3591,Caoxite,1,P1
3593,Capgaronnite,222,P21212
3594,Cappelenite-(Y),3,P3
3595,Capranicaite,2/m,P21/n
3596,Caracolite,6/m,P63/m
3597,Caracolite,2/m,P21/m
3599,Carboborite,2/m,P21/n
3600,Carbobystrite,3mm,P31c
3602,Carbocalumite,32/m2/m,R3c
3604,Carbocernaite,2mm,Pmc21
3606,Carboirite,1,C1
3607,Carbokentbrooksite,3mm,R3m
3609,Cardite,2/m2/m2/m,Cmcm
3610,Carducciite,2/m,P21/c
3611,Caresite,322,P3112
3613,Carletonite,4/m2/m2/m,P4/mbm
3614,Carletonmooreite,4/m32/m,Pm3m
3615,Carlfrancisite,32/m2/m,R3c
3618,Carlfriesite,2/m,C2/c
3619,Carlgieseckeite-(Nd),3,P3
3623,Carlhintzeite,1,P1
3624,Carlhintzeite,1,C1
3625,Carlinite,3,R3
3629,Carlosbarbosaite,2/m2/m2/m,Cmcm
3631,Carlosruizite,32/m2/m,P3c1
3632,Carlosturanite,m,Cm
3634,Carlsbergite,4/m32/m,Fm3m
3638,Carlsonite,1,P1
3640,Carmeltazite,2/m2/m2/m,Pnma
3641,Carmichaelite,2/m,P21/c
3644,Carminite,2/m2/m2/m,Cccm
3651,Carnallite,2/m2/m2/m,Pnna
3652,Carnallite,2/m2/m2/m,Pbnn
3655,Carnotite,2/m,P21/c
3656,Carobbiite,4/m32/m,Fm3m
3660,Carpathite,2/m,P21/a
3663,Carpholite,2/m2/m2/m,Ccca
3668,Carraraite,6/m,P63/m
3669,Carrboydite,32/m2/m,P3m1
3673,Carrollite,4/m32/m,Fd3m
3678,Caryinite,2/m,I2/a
3686,Cascandite,1,P1
3688,Cascandite,1,C1
3689,Caseyite,2/m,P21/n
3690,Cassagnaite,2/m2/m2/m,Cmcm
3693,Cassidyite,1,P1
3698,Cassiterite,4/m2/m2/m,P42/mnm
3702,Castellaroite,2/m,P21/n
3703,Caswellsilverite,32/m2/m,R3m
3705,Catalanoite,2/m2/m2/m,Ibca
3706,Catamarcaite,6mm,P63mc
3710,Catapleiite,2/m,B2/b
3712,Cattierite,332/m,Pa3
3715,Cattiite,1,P1
3717,Cavansite,2/m2/m2/m,Pcmn
3719,Cavansite,2/m2/m2/m,Pnma
3725,Cavoite,2/m2/m2/m,Pnam
3726,Cayalsite-(Y),2/m2/m2/m,Pban
3728,Cayalsite-(Y),2/m,P2/c
3730,Caysichite-(Y),2mm,Ccm21
3732,Cebaite-(Ce),2/m,C2/m
3735,Cechite,2/m2/m2/m,Pnam
3736,Cejkaite,32/m2/m,P3c1
3737,Cejkaite,1,P1
3738,Cejkaite,m,Cc
3739,Celadonite,2/m,C2/m
3741,Celadonite,2,C2
3747,Celestine,2/m2/m2/m,Pnma
3750,Celestine,2/m2/m2/m,Pbnm
3754,Celleriite,3mm,R3m
3757,Celsian,2/m,I2/c
3758,Centennialite,32/m2/m,P3m1
3759,Cerchiaraite-(Al),4/m2/m2/m,I4/mmm
3760,Cerchiaraite-(Fe),4/m2/m2/m,I4/mmm
3761,Cerchiaraite-(Mn),4/m2/m2/m,I4/mmm
3763,Cerianite-(Ce),4/m32/m,Fm3m
3766,Cerite-(Ce),3mm,R3c
3767,Cerium,4/m32/m,Fm3m
3768,Cerium,6/m2/m2/m,P63/mmc
3771,Cernyite,42m,I42m
3772,Cerromojonite,2mm,Pn21m
3780,Cerussite,2/m2/m2/m,Pmcn
3785,Cervandonite-(Ce),3mm,R3m
3787,Cervantite,2mm,Pna21
3789,Cervantite,2mm,Pbn21
3792,Cesanite,6/m,P63/m
3793,Cesanite,6,P6
3795,Cesarferreiraite,1,P1
3796,Cesbronite,2/m2/m2/m,Pbcn
3799,Cesiodymite,1,P1
3800,Cesiokenopyrochlore,4/m32/m,Fd3m
3802,Cetineite,6,P63
3803,Chabazite-Ca,3,R3
3819,Chabazite-Ca,32/m2/m,R3m
3823,Chabazite-Ca,1,P1
3828,Chabazite-K,3,R3
3830,Chabazite-K,32/m2/m,R3m
3833,Chabazite-Mg,3,R3
3835,Chabazite-Mg,32/m2/m,R3m
3837,Chabazite-Na,3,R3
3843,Chabazite-Na,32/m2/m,R3m
3847,Chabazite-Na,1,P1
3849,Chabazite-Sr,3,R3
3853,Chabazite-Sr,32/m2/m,R3m
3854,Chabourneite,1,P1
3861,Chaidamuite,1,P1
3866,Chalcanthite,1,P1
3869,Chalcoalumite,2,P21
3870,Chalcoalumite,2/m,P21/n
3875,Chalcocite,2/m,P21/c
3877,Chalcocite,6/m2/m2/m,P63/mmc
3878,Chalcocite,4/m32/m,Fm3m
3879,Chalcocyanite,2/m2/m2/m,Pnma
3880,Chalcomenite,222,P212121
3887,Chalconatronite,2/m,P21/n
3891,Chalcophanite,3,R3
3893,Chalcophyllite,3,R3
3898,Chalcopyrite,42m,I42d
3899,Chalcopyrite,43m,F43m
3905,Chalcosiderite,1,P1
3907,Chalcostibite,2/m2/m2/m,Pnma
3910,Chalcothallite,4/m2/m2/m,I4/mmm
3911,Challacolloite,2/m,P21/c
3918,Chambersite,2mm,Pca21
3921,Chamosite,1,C1
3922,Chanabayaite,2/m2/m2/m,Imma
3923,Changbaiite,3mm,R3m
3924,Changchengite,332,P213
3926,Changoite,2/m,P21/a
3927,Chantalite,4/m,I41/a
3928,Chaoite,6/m2/m2/m,P6/mmm
3930,Chapmanite,m,Cm
3932,Charleshatchettite,2/m,C2/c
3933,Charlesite,3mm,P31c
3934,Charmarite,622,P6322
3935,Charmarite,322,P3112
3939,Charoite,2/m,P21/m
3941,Chatkalite,42m,P4m2
3944,Chayesite,6/m2/m2/m,P6/mcc
3948,Chegemite,2/m2/m2/m,Pbnm
3949,Chekhovichite,2/m,P21/n
3950,Chelkarite,2/m2/m2/m,Pbca
3951,Chenevixite,2,B21
3954,Chengdeite,4/m32/m,Pm3m
3956,Chenite,1,P1
3958,Chenmingite,2/m2/m2/m,Pnma
3959,Cheralite,2/m,P21/n
3961,Cherepanovite,2/m2/m2/m,Pnma
3964,Chernikovite,4/m2/m2/m,P4/nmm
3967,Chernikovite,4/m2/m2/m,P4/ncc
3969,Chernovite-(Y),4/m2/m2/m,I41/amd
3972,Chervetite,2/m,P21/a
3974,Chesnokovite,2/m2/m2/m,Ibca
3976,Chesterite,2mm,A21ma
3977,Chestermanite,2/m2/m2/m,Pbam
3980,Chevkinite-(Ce),2/m,C2/m
3984,Chiappinoite-(Y),2/m2/m2/m,Ibam
3987,Chiavennite,2/m2/m2/m,Pnab
3988,Chibaite,332/m,Fd3
3989,Chibaite,4/m,I41/a
3990,Chibaite,1,P1
3992,Chihmingite,4/m32/m,Fd3m
3993,Chihuahuaite,6/m2/m2/m,P63/mmc
3994,Childrenite,2mm,Bba2
3998,Childrenite,2/m2/m2/m,Bbam
4000,Chinchorroite,1,P1
4001,Chinleite-(Y),322,P3221
4003,Chiolite,4/m2/m2/m,P4/mnc
4005,Chirvinskyite,1,P1
4007,Chivruaiite,2/m2/m2/m,Cmmm
4008,Chiyokoite,6,P63
4010,Chkalovite,2/m2/m2/m,Fddd
4011,Chkalovite,2mm,Fdd2
4012,Chladniite,3,R3
4013,Chloraluminite,32/m2/m,R3c
4017,Chlorapatite,6/m,P63/m
4019,Chlorapatite,2/m,P21/b
4027,Chlorargyrite,4/m32/m,Fm3m
4035,Chlorartinite,3mm,R3c
4041,Chlorbartonite,4/m2/m2/m,I4/mmm
4042,Chlorellestadite,6/m,P63/m
4047,Chloritoid,1,C1
4048,Chloritoid,2/m,C2/c
4050,Chloritoid,1,P1
4051,Chlorkyuygenite,43m,I43d
4054,Chlormanganokalite,32/m2/m,R3c
4057,Chlormayenite,43m,I43d
4067,Chloromagnesite,32/m2/m,R3m
4068,Chloromenite,2/m,I2/m
4070,Chlorophoenicite,2/m,C2/m
4071,Chlorothionite,2/m2/m2/m,Pnma
4073,Chloroxiphite,2/m,P21/m
4075,Choloalite,432,P4132
4078,Chondrodite,2/m,P21/b
4098,Chongite,2/m,C2/c
4099,Chopinite,2/m,P21/b
4100,Chopinite,2/m,P21/c
4101,Chovanite,2/m,C2/m
4104,Chrisstanleyite,2/m,P21/c
4107,Christelite,1,P1
4108,Christite,2/m,P21/n
4110,Christofschaferite-(Ce),2/m,P21/m
4111,Chromatite,4/m2/m2/m,I41/amd
4115,Chrombismite,4/m,I4/m
4116,Chromceladonite,2,C2
4117,Chromferide,4/m32/m,Pm3m
4118,Chromio-pargasite,2/m,C2/m
4121,Chromite,4/m32/m,Fd3m
4159,Chromium,4/m32/m,Fm3m
4160,Chromium,6/m2/m2/m,P63/mmc
4161,Chromium,4/m32/m,Im3m
4162,Chromium,332/m,Pm3
4165,Chromium-dravite,3mm,R3m
4170,Chromo-alumino-povondraite,3mm,R3m
4174,Chromphyllite,2/m,C2/c
4175,Chromschieffelinite,222,C2221
4181,Chrysoberyl,2/m2/m2/m,Pbnm
4182,Chrysoberyl,2/m2/m2/m,Pnma
4197,Chrysothallite,4/m2/m2/m,I4/mmm
4199,Chrysotile,2/m,B2/m
4201,Chrysotile,m,Cc
4202,Chubarovite,322,R32
4205,Chudobaite,1,P1
4209,Chukanovite,2/m,P21/a
4214,Chukhrovite-(Ca),332/m,Fd3
4219,Chukhrovite-(Y),332/m,Fd3
4220,Chukochenite,2/m2/m2/m,Imma
4224,Churchite-(Y),2/m,I2/a
4225,Chursinite,2/m,P21/c
4226,Chvaleticeite,2/m,C2/c
4227,Chvilevaite,3mm,P3m1
4228,Cianciulliite,2/m,C2/m
4229,Cinnabar,322,P3121
4247,Cinnabar,322,P3221
4250,Ciprianiite,2/m,P2/a
4251,Ciriottiite,2/m,P21/n
4254,Claraite,1,P1
4258,Claringbullite,6/m2/m2/m,P63/mmc
4259,Clarkeite,32/m2/m,R3m
4261,Claudetite,2/m,P21/n
4266,Clausthalite,4/m32/m,Fm3m
4270,Clearcreekite,2/m,P21/c
4271,Clerite,2/m2/m2/m,Pnam
4272,Cleusonite,3,R3
4276,Cliffordite,332/m,Pa3
4281,Clinoatacamite,2/m,P21/n
4286,Clinobehoite,2,P21
4288,Clinobisvanite,2/m,I2/b
4290,Clinobisvanite,4/m,I41/a
4292,Clinocervantite,2/m,C2/c
4297,Clinochlore,2/m,C2/c
4298,Clinochlore,1,C1
4301,Clinochlore,2/m,C2/m
4319,Clinoclase,2/m,P21/c
4321,Clinoenstatite,2/m,P21/c
4352,Clino-ferri-holmquistite,2/m,C2/m
4353,Clinoferrosilite,2/m,P21/c
4369,Clinoferrosilite,2/m,C2/c
4376,Clinohedrite,m,Cc
4381,Clinohumite,2/m,P21/b
4385,Clinojimthompsonite,2/m,C2/c
4386,Clinokurchatovite,2/m,P21/b
4388,Clinokurchatovite,2/m,P21/c
4389,Clinometaborite,2/m,P21/c
4390,Clinometaborite,2/m,P21/a
4392,Clino-oscarkempffite,2/m,P21/c
4394,Clinophosinaite,2/m,P2/c
4395,Clinoptilolite-Ca,2/m,C2/m
4409,Clinoptilolite-K,2/m,C2/m
4413,Clinoptilolite-Na,2/m,C2/m
4423,Clinosafflorite,2/m,P21/c
4424,Clinosafflorite,2/m,B21/d
4426,Clino-suenoite,2/m,C2/m
4427,Clinotobermorite,2/m,I2/m
4428,Clinotobermorite,1,C1
4431,Clinotobermorite,m,Cc
4434,Clinozoisite,2/m,P21/m
4455,Clintonite,2/m,C2/m
4456,Cloncurryite,2/m,P21/c
4459,Coalingite,32/m2/m,R3m
4460,Cobaltarthurite,2/m,P21/c
4463,Cobaltaustinite,222,P212121
4467,Cobaltite,2mm,Pca21
4468,Cobaltite,332/m,Pa3
4471,Cobaltkieserite,2/m,C2/c
4477,Cobaltkoritnigite,1,P1
4478,Cobaltlotharmeyerite,2/m,C2/m
4480,Cobaltneustadtelite,1,P1
4481,Cobaltoblodite,2/m,P21/a
4483,Cobaltomenite,2/m,P21/n
4487,Cobaltpentlandite,4/m32/m,Fm3m
4489,Cobalttsumcorite,2/m,C2/m
4490,Cobaltzippeite,2/m,C2/m
4493,Coccinite,4/m2/m2/m,P42/nmc
4500,Coccinite,4/m2/m2/m,I41/amd
4502,Cochromite,4/m32/m,Fd3m
4510,Coesite,2/m,C2/c
4511,Coesite,2/m,P21/a
4532,Coffinite,4/m2/m2/m,I41/amd
4534,Cohenite,2/m2/m2/m,Pbnm
4537,Cohenite,2/m2/m2/m,Pnma
4574,Coiraite,2/m,P2/m
4579,Colemanite,2/m,P21/a
4580,Colimaite,2/m2/m2/m,Pnma
4582,Colinowensite,4/m2/m2/m,I41/acd
4589,Collinsite,1,P1
4591,Colomeraite,2/m,C2/c
4592,Coloradoite,43m,F43m
4594,Coloradoite,4/m32/m,Fm3m
4596,Colquiriite,32/m2/m,P31c
4602,Columbite-(Fe),2/m2/m2/m,Pbcn
4620,Columbite-(Mg),2/m2/m2/m,Pbcn
4623,Columbite-(Mn),2/m2/m2/m,Pbcn
4637,Colusite,43m,P43n
4641,Colusite,43m,F43m
4642,Comancheite,2/m2/m2/m,Pnnm
4644,Combeite,32/m2/m,R3m
4645,Combeite,322,P3121
4648,Combeite,3,P32
4651,Compreignacite,2/m2/m2/m,Pnnm
4654,Congolite,3mm,R3c
4662,Conichalcite,222,P212121
4667,Connellite,6/m2/m2/m,P63/mmc
4668,Connellite,62m,P62c
4670,Cookeite,m,Cc
4673,Cooperite,4/m2/m2/m,P42/mmc
4685,Coparsite,2/m2/m2/m,Pbcm
4689,Copiapite,1,P1
4698,Copper,4/m32/m,Fm3m
4712,Coquandite,1,P1
4714,Coquimbite,32/m2/m,P31c
4715,Coquimbite,3mm,P31c
4725,Coralloite,1,P1
4726,Corderoite,332,I213
4728,Cordierite,2/m2/m2/m,Cccm
4797,Cordylite-(Ce),6/m2/m2/m,P63/mmc
4804,Cordylite-(La),6/m2/m2/m,P63/mmc
4810,Corkite,3mm,R3m
4811,Corkite,32/m2/m,R3m
4814,Cornetite,2/m2/m2/m,Pbca
4815,Cornubite,1,P1
4819,Cornwallite,2/m,P21/c
4822,Coronadite,2/m,I2/m
4824,Correianevesite,2/m2/m2/m,Pbna
4829,Cortesognoite,2/m2/m2/m,Cmcm
4843,Corundum,32/m2/m,R3c
4869,Corvusite,2/m,C2/m
4871,Cosalite,2/m2/m2/m,Pbnm
4876,Cosalite,2/m2/m2/m,Pnma
4882,Coskrenite-(Ce),1,P1
4883,Cossaite,3,R3
4884,Costibite,2mm,Pn21m
4886,Cotunnite,2/m2/m2/m,Pbnm
4887,Coulsonite,4/m32/m,Fd3m
4889,Coutinhoite,2/m2/m2/m,Cmmb
4890,Covellite,6/m2/m2/m,P63/mmc
4922,Covellite,2/m2/m2/m,Cmcm
4932,Crandallite,32/m2/m,R3m
4934,Cranswickite,m,Cc
4935,Cranswickite,2/m,C2/c
4936,Crawfordite,2,P21
4942,Crednerite,2/m,C2/m
4945,Creedite,2/m,C2/c
4946,Crerarite,4/m32/m,Fm3m
4949,Crichtonite,3,R3
4952,Crimsonite,2/m2/m2/m,Cccm
4956,Cristobalite,422,P41212
4964,Cristobalite,4/m32/m,Fd3m
4972,Cristobalite,222,P212121
4974,Cristobalite,2/m,P21/c
4981,Cristobalite,32/m2/m,R3c
4988,Crocobelonite,2/m2/m2/m,Pnma
4989,Crocoite,222,P212121
4992,Crocoite,2/m,P21/n
4993,Crocoite,2/m2/m2/m,Pnma
4997,Cronstedtite,3,R3
4998,Cronstedtite,3mm,P31m
5003,Crookesite,4/m,I4/m
5008,Crowningshieldite,6/m2/m2/m,P63/mmc
5009,Cryobostryxite,2/m,P21/c
5013,Cryolite,2/m,P21/n
5017,Cryolite,4/m32/m,Fm3m
5030,Cryolite,2/m2/m2/m,Immm
5033,Cryolithionite,4/m32/m,Ia3d
5036,Cryptochalcite,1,P1
5037,Cryptohalite,4/m32/m,Fm3m
5039,Cryptomelane,2/m,I2/m
5040,Cryptomelane,4/m,I4/m
5041,Cryptophyllite,2/m,P21/n
5042,Cualstibite,3,P3
5043,Cuatrocapaite-(K),32/m2/m,P3m1
5044,Cuatrocapaite-(NH4),32/m2/m,P3m1
5046,Cubanite,2/m2/m2/m,Pcmn
5054,Cuboargyrite,4/m32/m,Fm3m
5056,Cubothioplumbite,332/m,Pa3
5058,Cumengeite,4/m2/m2/m,I4/mmm
5059,Cummingtonite,2/m,C2/m
5061,Cummingtonite,2/m,P21/m
5073,Cupalite,2/m,C2/m
5076,Cupalite,2/m,I2/m
5081,Cuprite,4/m32/m,Pn3m
5084,Cuprite,332/m,Pn3
5086,Cuprobismutite,2/m,C2/m
5087,Cuprodongchuanite,1,P1
5088,Cuproiridsite,4/m2/m2/m,I41/amd
5089,Cuproiridsite,4/m32/m,Fd3m
5090,Cuprokalininite,4/m32/m,Fd3m
5103,Cupromakopavonite,2/m,C2/m
5104,Cupromakovickyite,2/m,C2/m
5105,Cupromolybdite,2/m2/m2/m,Pnma
5107,Cuproneyite,2/m,C2/m
5111,Cupropearceite,32/m2/m,P3m1
5112,Cupropolybasite,32/m2/m,P3m1
5113,Cuprorhodsite,4/m32/m,Fd3m
5119,Cuprorivaite,4/m2/m2/m,P4/ncc
5121,Cuprosklodowskite,1,P1
5122,Cuprospinel,4/m32/m,Fd3m
5124,Cuprospinel,4/m2/m2/m,I41/amd
5126,Cuprostibite,4/m2/m2/m,P4/nmm
5128,Cuprotungstite,422,P41212
5129,Cuprozheshengite,1,P1
5130,Curetonite,2/m,P21/n
5132,Curienite,2/m2/m2/m,Pcan
5135,Curite,2/m2/m2/m,Pnam
5151,Currierite,622,P622
5155,Cuspidine,2/m,P21/c
5157,Cuspidine,2/m,P21/n
5159,Cuspidine,2/m,P21/a
5162,Cyanochroite,2/m,P21/a
5163,Cyanochroite,2/m,P21/c
5166,Cylindrite,1,A1
5168,Cylindrite,1,F1
5169,Cylindrite,1,C1
5173,Cymrite,2,P21
5174,Cyprine,4/m,P4/n
5176,Cyrilovite,422,P41212
5177,Czochralskiite,2/m2/m2/m,Pnma
5179,Dachiardite-Ca,2/m,C2/m
5180,Dachiardite-K,2/m,C2/m
5181,Dachiardite-Na,2/m,C2/m
5184,Dadsonite,1,P1
5186,Dagenaisite,2/m,C2/c
5188,Dalnegorskite,1,P1
5189,Dalnegroite,1,P1
5192,Dalyite,1,P1
5193,Damaraite,2mm,Pmc21
5195,Damiaoite,4/m32/m,Fm3m
5198,Danalite,43m,P43n
5225,Danburite,2/m2/m2/m,Pbnm
5226,Danburite,2/m2/m2/m,Pnam
5234,Dansite,43m,I43d
5235,Dansite-(Fe),43m,I43d
5237,Dansite-(Mn),43m,I43d
5239,Dantopaite,2/m,C2/m
5243,Daomanite,m,Aa
5244,Daomanite,m,Cc
5245,Daqingshanite-(Ce),3mm,R3m
5246,Darapiosite,6/m2/m2/m,P6/mcc
5247,Darapskite,2/m,P21/m
5248,Dargaite,32/m2/m,R3m
5249,Darrellhenryite,3mm,R3m
5251,Dashkovaite,2/m,P21/c
5254,Datolite,2/m,P21/a
5256,Datolite,2/m,P21/c
5271,Daubreeite,4/m2/m2/m,P4/nmm
5272,Daubreelite,4/m32/m,Fd3m
5288,Davanite,1,P1
5289,Davemaoite,4/m32/m,Pm3m
5290,Davidbrownite-(NH4),2/m,P21/c
5293,Davidite-(La),3,R3
5295,Davidlloydite,1,P1
5296,Davidsmithite,6,P63
5298,Davinciite,3mm,R3m
5300,Davisite,2/m,C2/c
5301,Davreuxite,2/m,P21/m
5304,Davyne,6,P63
5305,Davyne,6/m,P63/m
5311,Dawsonite,2/m2/m2/m,Imma
5312,Dawsonite,2mm,I2cm
5313,Dawsonite,2/m2/m2/m,Imam
5314,Deanesmithite,1,P1
5315,Debattistiite,1,P1
5320,Deerite,2/m,P21/a
5322,Defernite,2/m2/m2/m,Pnam
5324,Dekatriasartorite,2/m,P21/c
5326,Delafossite,32/m2/m,R3m
5327,Delafossite,6/m2/m2/m,P63/mmc
5330,Delhayelite,2/m2/m2/m,Pmmn
5331,Delhuyarite-(Ce),2/m,C2/m
5332,Deliensite,2mm,Pnn2
5340,Delindeite,2/m,A2/m
5341,Delindeite,2/m,C2/c
5342,Dellagiustaite,4/m32/m,Fd3m
5343,Dellaite,1,P1
5346,Deloneite,6,P63
5347,Deloneite,3,P3
5348,Deloryite,2/m,C2/m
5349,Deloryite,2/m,B2/m
5350,Delrioite,2/m,I2/a
5351,Deltalumite,42m,P4m2
5353,Demagistrisite,2mm,Amm2
5354,Demartinite,6mm,P63mc
5356,Demesmaekerite,1,P1
5357,Demicheleite-(Br),2/m2/m2/m,Pnam
5358,Demicheleite-(Cl),2/m2/m2/m,Pnam
5359,Demicheleite-(I),2/m2/m2/m,Pnam
5360,Dendoraite-(NH4),2/m,P21/n
5363,Denningite,4/m2/m2/m,P42/nbc
5369,Depmeierite,6,P63
5371,Derbylite,2/m,P21/m
5374,Derriksite,2mm,Pn21m
5375,Dervillite,2/m,P2/a
5377,Dervillite,m,Pc
5378,Desautelsite,32/m2/m,R3m
5383,Descloizite,222,P212121
5384,Descloizite,2/m2/m2/m,Pnma
5386,Despujolsite,62m,P62c
5388,Dessauite-(Y),3,R3
5389,Destinezite,1,P1
5393,Deveroite-(Ce),2/m,P21/c
5396,Devilliersite,1,P1
5399,Devilline,2/m,P21/c
5400,Devitoite,1,P1
5404,Dewindtite,2/m2/m2/m,Bmmb
5405,Dewitite,1,P1
5406,Deynekoite,3mm,R3c
5409,Diaboleite,4mm,P4mm
5414,Diamond,4/m32/m,Fd3m
5416,Diamond,2/m2/m2/m,Cmma
5417,Diamond,2/m2/m2/m,Cmmm
5418,Diamond,2/m2/m2/m,Pban
5419,Diamond,332/m,Ia3
5445,Diaoyudaoite,6/m2/m2/m,P63/mmc
5452,Diaphorite,2/m,P21/c
5455,Diaspore,2/m2/m2/m,Pbnm
5471,Dickinsonite-(KMnNa),m,Cc
5472,Dickinsonite-(KMnNa),2/m,A2/a
5475,Dickite,m,Cc
5481,Dickthomssenite,2/m,C2/c
5482,Diegogattaite,2/m,C2/m
5487,Dietrichite,2/m,P21/c
5489,Dietzeite,2/m,P21/c
5491,Digenite,4/m32/m,Fm3m
5493,Digenite,32/m2/m,R3m
5498,Dimorphite,2/m2/m2/m,Pnma
5500,Dingdaohengite-(Ce),2/m,P21/a
5501,Dingdaohengite-(Ce),2/m,C2/m
5502,Dinite,222,P212121
5503,Diopside,2/m,C2/c
5668,Dioptase,3,R3
5670,Dioskouriite,2/m,P21/c
5671,Dioskouriite,222,P212121
5672,Direnzoite,2/m2/m2/m,Pmmn
5673,Dissakisite-(Ce),2/m,P21/m
5675,Dissakisite-(La),2/m,P21/m
5678,Disulfodadsonite,1,P1
5680,Dittmarite,2mm,Pmn21
5681,Diversilite-(Ce),3,R3
5682,Diversilite-(Ce),322,R32
5684,Dixenite,3,R3
5685,Djerfisherite,4/m32/m,Pm3m
5688,Djurleite,2/m,P21/n
5690,Dmisokolovite,2/m,C2/c
5691,Dmisteinbergite,6/m2/m2/m,P63/mcm
5696,Dmitryivanovite,2/m,P21/c
5697,Dobrovolskyite,3,R3
5699,Dobsinaite,2/m,P21/c
5700,Dokuchaevite,1,P1
5703,Dolerophanite,2/m,C2/m
5704,Dollaseite-(Ce),2/m,P21/m
5705,Dolomite,3,R3
5752,Dolomite,32/m2/m,R3c
5814,Doloresite,2/m,C2/m
5816,Domerockite,1,P1
5818,Domeykite,43m,I43d
5820,Domeykite-beta,32/m2/m,P3c1
5822,Donbassite,2,C2
5825,Dongchuanite,1,P1
5829,Donnayite-(Y),1,P1
5830,Donnayite-(Y),3mm,R3m
5831,Donowensite,1,P1
5833,Donpeacorite,2/m2/m2/m,Pbca
5840,Donwilhelmsite,6/m2/m2/m,P63/mmc
5841,Dorallcharite,32/m2/m,R3m
5842,Dorfmanite,2/m2/m2/m,Pbca
5844,Dovyrenite,2/m2/m2/m,Pnnm
5845,Downeyite,4/m2/m2/m,P42/mbc
5848,Doyleite,1,P1
5850,Dozyite,m,Cm
5851,Dravertite,2/m,P21/n
5852,Dravite,3mm,R3m
5868,Dravite,1,P1
5887,Drechslerite,1,P1
5890,Dreyerite,4/m2/m2/m,I41/amd
5891,Dritsite,6/m2/m2/m,P63/mcm
5892,Drobecite,2/m,P21/n
5893,Droninoite,32/m2/m,R3m
5895,Drugmanite,2/m,P21/a
5896,Drysdallite,6/m2/m2/m,P63/mmc
5899,Dualite,3mm,R3m
5900,Dufrenite,2/m,C2/c
5902,Dufrenoysite,2,P21
5907,Duftite,222,P212121
5910,Dugganite,322,P321
5911,Dukeite,3mm,P31c
5912,Dumontite,2/m,P21/m
5915,Dumortierite,2/m2/m2/m,Pmcn
5920,Dumortierite,2/m2/m2/m,Pnma
5929,Dundasite,2/m2/m2/m,Pbnm
5932,Durangite,2/m,C2/c
5936,Dusmatovite,6/m2/m2/m,P6/mcc
5939,Dussertite,32/m2/m,R3m
5940,Dutkevichite-(Ce),2mm,Ama2
5941,Dutrowite,3mm,R3m
5942,Duttonite,2/m,I2/c
5943,Dwornikite,2/m,C2/c
5951,Dymkovite,2/m,C2/m
5953,Dyrnaesite-(La),2/m2/m2/m,Pnma
5954,Dyscrasite,2mm,Pm2m
5967,Dyscrasite,2mm,Pmm2
5968,Dzhalindite,332/m,Im3
5970,Dzharkenite,332/m,Pa3
5971,Dzhuluite,4/m32/m,Ia3d
5972,Dzierzanowskite,32/m2/m,P3m1
5976,Eakerite,2/m,P21/a
5979,Earlandite,1,P1
5980,Earlshannonite,2/m,P21/c
5984,Ecandrewsite,3,R3
5987,Eckerite,2/m,C2/c
5988,Eckermannite,2/m,C2/m
5991,Eckhardite,2/m,P21/n
5994,Eclarite,2/m2/m2/m,Pnma
5995,Eclarite,2/m2/m2/m,Pmcn
5996,Ecrinsite,1,P1
5997,Eddavidite,4/m32/m,Fm3m
5999,Edenharterite,2mm,Fdd2
6007,Edgarbaileyite,2/m,C2/m
6008,Edgarite,622,P6322
6009,Edgrewite,2/m,P21/b
6013,Edingtonite,42m,P421m
6019,Edingtonite,222,P21212
6024,Edoylerite,2/m,P21/c
6025,Edscottite,2/m,C2/c
6026,Edtollite,1,P1
6027,Edwardsite,2/m,P21/c
6030,Effenbergerite,4/m2/m2/m,P4/ncc
6045,Efremovite,332,P213
6049,Eglestonite,4/m32/m,Ia3d
6053,Ehrleite,1,P1
6054,Eifelite,6/m2/m2/m,P6/mcc
6056,Eirikite,32/m2/m,P3m1
6058,Eitelite,3,R3
6060,Ekanite,4/m2/m2/m,P4/mcc
