,mineral name,point group,space group
10827,Jolliffeite,332,P213
10831,Jonesite,2/m,P21/m
10832,Joosteite,2/m,I2/a
10834,Jordanite,2/m,P21/m
10838,Jorgensenite,2/m,C2/m
10839,Jorgkellerite,3,P3
10840,Joteite,1,P1
10843,Jouravskite,6,P63
10844,Juabite,1,P1
10846,Juangodoyite,2/m,P21/a
10847,Juanitaite,4/m2/m2/m,P42/nnm
10848,Juansilvaite,2/m,C2/c
10849,Julgoldite-(Fe2+),2/m,A2/m
10851,Julgoldite-(Fe3+),2/m,A2/m
10853,Julienite,2/m,P21/n
10857,Junitoite,2mm,Aba2
10858,Junitoite,2mm,Ama2
10859,Junoite,2/m,C2/m
10861,Juonniite,2/m2/m2/m,Pbca
10863,Jurbanite,2/m,P21/n
10864,Kaatialaite,2/m,P21/n
10865,Kabalovite,1,P1
10866,Kadyrelite,4/m32/m,Ia3d
10869,Kaersutite,2/m,C2/m
10885,Kahlenbergite,6/m2/m2/m,P63/mmc
10888,Kainite,2/m,C2/m
10891,Kainosite-(Y),2/m2/m2/m,Pmnb
10893,Kainotropite,2/m2/m2/m,Pnma
10894,Kaitianite,2/m,C2/c
10895,Kalborsite,42m,P421c
10896,Kalgoorlieite,2/m,C2/m
10902,Kaliborite,2/m,C2/c
10904,Kalicinite,2/m,P21/a
10917,Kalifersite,1,P1
10918,Kalininite,4/m32/m,Fd3m
10923,Kaliochalcite,2/m,C2/m
10930,Kaliophilite,2,P21
10933,Kalithallite,4/m2/m2/m,I4/mmm
10934,Kalsilite,3mm,P31c
10974,Kalsilite,6,P63
10975,Kalsilite,6mm,P63mc
10988,Kalungaite,332,P213
10991,Kambaldaite,6,P63
10992,Kamchatkite,2mm,Pna21
10993,Kamenevite,222,P212121
10994,Kamiokite,6mm,P63mc
10997,Kamotoite-(Y),2/m,P21/a
10998,Kampelite,2/m2/m2/m,Pnma
10999,Kampfite,m,Cc
11000,Kamphaugite-(Y),422,P41212
11006,Kanemite,2/m2/m2/m,Pbcn
11008,Kangite,332/m,Ia3
11011,Kangjinlaite,4/m2/m2/m,I4/mmm
11014,Kannanite,2/m2/m2/m,Pnmm
11016,Kanoite,2/m,P21/c
11017,Kanoite,2/m,C2/c
11022,Kanonaite,2/m2/m2/m,Pnnm
11023,Kanonerovite,2/m,P21/n
11027,Kaolinite,m,Cc
11028,Kaolinite,1,C1
11033,Kapellasite,32/m2/m,P3m1
11034,Kapitsaite-(Y),1,I1
11035,Kapundaite,1,P1
11037,Kapustinite,2/m,C2/m
11038,Karasugite,2/m,P21/c
11041,Karelianite,32/m2/m,R3c
11047,Karenwebberite,2/m2/m2/m,Pbnm
11051,Karlditmarite,1,P1
11052,Karlite,222,P21212
11053,Karpenkoite,32/m2/m,P3m1
11054,Karpovite,2,P21
11056,Karupmollerite-Ca,2/m,C2/m
11057,Kasatkinite,2/m,P21/c
11059,Kashinite,2/m2/m2/m,Pbcn
11064,Kasolite,2/m,P21/c
11066,Kasolite,2/m,P21/a
11067,Kassite,2/m,P21/a
11068,Kastningite,1,P1
11071,Katayamalite,2/m,C2/c
11072,Katayamalite,1,C1
11073,Katerinopoulosite,2/m,P21/a
11074,Katiarsite,2mm,Pna21
