mineral name,point group,space group
Barroisite,2/m,C2/m
Barrotite,3,P31
Barrydawsonite-(Y),2/m,P21/a
Barstowite,2/m,P21/m
Bartelkeite,2/m,P21/m
Bartonite,4/m2/m2/m,I4/mmm
Barwoodite,3,P3
Barylite,2mm; m; 2mm; 2/m2/m2/m,Pmn21; Pm; Pn21a; Pnma
Barysilite,32/m2/m,R3c
Baryte,2/m2/m2/m; 2/m2/m2/m,Pnma; Pbnm
Barytocalcite,2; 2/m,P21; P21/m
Barytolamprophyllite,2/m,C2/m
Bassanite,2; 322; 2; 322; 2,I2; P3121; C2; P3221; B2
Bassetite,2/m,P21/m
Bassoite,2/m,P21/m
Bastnasite-(Ce),62m,P62c
Bastnasite-(La),62m; 62m,P62m; P62c
Bastnasite-(Nd),62m,P62c
Batagayite,2,P21
Batievaite-(Y),1,P1
Batiferrite,6/m2/m2/m,P63/mmc
Batisite,2mm; 2/m2/m2/m,Ima2; Imcm
Batisivite,1,P1
Baumhauerite,1,P1
Baumhauerite II,1,P1
Baumstarkite,1,P1
Bavenite,2/m2/m2/m,Cmcm
Bavsiite,4/m,I4/m
Bayerite,2/m; 2/m,P21/n; P21/a
Bayldonite,2/m,C2/c
Bayleyite,2/m,P21/a
Baylissite,2/m; 2/m,P21/a; P21/n
Bazhenovite,2/m,P21/c
Bazirite,62m,P6c2
Bazzite,6/m2/m2/m,P6/mcc
Bearsite,2/m,P21/a
Bearthite,2/m,P21/m
Beaverite-(Cu),32/m2/m,R3m
Beaverite-(Zn),32/m2/m,R3m
Bechererite,3,P3
Beckettite,1,P1
Becquerelite,2mm; 3,Pn21a; P3
Bederite,2/m2/m2/m,Pcab
Beershevaite,2/m,P21/m
Behierite,4/m2/m2/m,I41/amd
Behoite,222,P212121
Behounekite,2/m2/m2/m,Pnma
Belakovskiite,1,P1
Belendorffite,3mm,R3m
Belkovite,62m,P62m
Bellbergite,6/m2/m2/m,P63/mmc
Bellidoite,4/m; 4/m2/m2/m,P42/n; P42/nnm
Bellingerite,1,P1
Belloite,2/m,P21/a
Belogubite,1,P1
Belomarinaite,3mm,P3m1
Belousovite,2/m,P21/c
Belovite-(Ce),3,P3
Belovite-(La),3,P3
Bementite,2/m,P21/c
Benauite,32/m2/m,R3m
Benavidesite,2/m,P21/c
Bendadaite,2/m,P21/c
Benitoite,62m; 3mm,P6c2; P31c
Benjaminite,2/m,C2/m
Bennesherite,42m,P421m
Benstonite,3,R3
Bentorite,6/m2/m2/m,P63/mmc
Benyacarite,2/m2/m2/m,Pbca
Beraunite,2/m; m,C2/c; Cc
Berborite,322; 3; 6; 3mm,P321; P3; P63; P3c1
Berdesinskiite,2/m,C2/c
Berezanskite,6/m2/m2/m,P6/mcc
Bergenite,2/m,P21/c
Bergslagite,2/m,P21/c
Berlinite,322; 322; 622,P3121; P3221; P6222
Bermanite,2,P21
Bernalite,2/m2/m2/m,Immm
Bernardite,2/m,P21/c
Bernarlottiite,1,P1
Berndtite,32/m2/m,P3m1
Berryite,2/m,P21/m
Berthierite,2/m2/m2/m; 2/m2/m2/m,Pnma; Pnam
Bertossaite,2/m2/m2/m,Imcb
Bertrandite,2mm,Cmc21
Beryl,6/m2/m2/m,P6/mcc
Beryllonite,2/m,P21/n
Berzelianite,43m; 4/m32/m; 332,F43m; Fm3m; F23
Berzeliite,4/m32/m,Ia3d
Beshtauite,2/m,P21/c
Betalomonosovite,1,P1
Betekhtinite,2/m2/m2/m,Immm
Betpakdalite-CaCa,2/m,C2/m
Betpakdalite-CaMg,2/m,C2/m
Betpakdalite-FeFe,2/m,C2/m
Betpakdalite-NaCa,2/m,C2/m
Betpakdalite-NaNa,2/m,C2/m
Bettertonite,2/m,C2/c
Betzite,6,P63
Beudantite,32/m2/m,R3m
Beusite,2/m,P21/c
Beusite-(Ca),2/m,P21/c
Beyerite,2/m2/m2/m,Immm
Biachellaite,3,P3
Biagioniite,m,Pc
Bianchiniite,4/m2/m2/m,I4/mcm
Bianchite,2/m,C2/c
Bicapite,4/m,I4/m
Bicchulite,43m,I43m
Bideauxite,4/m32/m,Fd3m
Bieberite,2/m,P21/c
Biehlite,2/m,C2/c
Bigcreekite,2/m2/m2/m,Pnma
Bijvoetite-(Y),2,B2
Bikitaite,2/m; 1; 2,P21/m; P1; P21
Bilinite,2/m,P21/c
Billietite,2mm,Pbn21
Billingsleyite,332,P213
Billwiseite,2/m,C2/c
Bimbowrieite,2/m,C2/c
Bindheimite,4/m32/m,Fd3m
Biphosphammite,42m,I42d
Biraite-(Ce),2/m,P21/c
Biraite-(La),2/m,P21/c
Birchite,2/m2/m2/m,Pnma
Biringuccite,2/m,P21/c
Birnessite,2/m; 1; 1,C2/m; P1; C1
Bischofite,2/m,C2/m
Bismite,2/m,P21/c
Bismoclite,4/m2/m2/m,P4/nmm
Bismuth,32/m2/m; 6/m2/m2/m,R3m; P63/mmc
Bismuthinite,2/m2/m2/m,Pnma
Bismutite,2mm,Imm2
Bismutocolumbite,2/m2/m2/m,Pnna
Bismutoferrite,m,Cm
Bismutostibiconite,4/m32/m,Fd3m
Bismutotantalite,2/m2/m2/m,Pcnn
Bitikleite,4/m32/m,Ia3d
Bityite,2/m; m,C2/c; Cc
Bixbyite-(Fe),332/m,Ia3
Bixbyite-(Mn),332/m; 332; 2/m2/m2/m,Ia3; I213; Pbca
Bjarebyite,2/m,P21/m
Blatterite,2/m2/m2/m,Pnnm
Bleasdaleite,2/m,C2/m
Blixite,2/m,C2/c
Blodite,2/m,P21/a
Blossite,2mm,Fdd2
Bluebellite,3,R3
Bluelizardite,2/m,C2/c
Bluestreakite,2/m,P21/n
Bobcookite,1,P1
Bobfergusonite,2/m,P21/n
Bobfinchite,2/m2/m2/m,Pbcn
Bobierrite,2/m; 2/m,C2/m; C2/c
Bobjonesite,2/m,P21/n
Bobkingite,2/m,C2/m
Bobmeyerite,2/m2/m2/m,Pnnm
Bobshannonite,1,P1
Bobtraillite,32/m2/m,P3c1
Bodieite,2/m,I2/a
Bogdanovite,4/m32/m,Pm3m
Boggildite,2/m,P21/c
Boggsite,2/m2/m2/m,Imma
Bogvadite,2/m,P21/n
Bohdanowiczite,32/m2/m,P3m1
Bohmite,2/m2/m2/m; 2/m2/m2/m; 2mm; 2/m2/m2/m,Bbmm; Cmcm; Cmc21; Amam
Bohseite,2/m2/m2/m,Cmcm
Bohuslavite,1,P1
Bojarite,4/m32/m,Fd3c
Bokite,2/m,C2/m
Boleite,4/m32/m,Pm3m
Bolotinaite,43m,I43m
Boltwoodite,2/m; 2,P21/m; P21
Bonaccordite,2/m2/m2/m,Pbam
Bonacinaite,2/m,P21/n
