,symmetry_index,mineral_count,MODE,Mode Description,STAGE (min),STAGE (max),AGE (min) Ga,AGE (max) Ga,AGE (average) Ga,Temp (min) K,Temp (max) K,Temp (average) K,P (min) log Pa,P (max) log Pa,P (average log Pa),DUR (min) log Yr,DUR (max) log Yr,DUR (average log Yr),# Minerals,# Elements,Aqueous?,Biotic?,ChemIG Atom,ChemIG Total,StrIG Atom,StrIG Total,Hardness (HoM),Hardness (Web Max),Hardness (Average),Calc Density (gm/cm3),Web Density (gm/cm3),Density (Average)
10,0.45294289044289043,143,p12,Hadean hydrothermal minerals,3,5,4.56,4.0,4.28,350,600,475,5,6,5.5,0,3,1.5,129,34,1,0,1.28,26.55,2.199,116.19,3.9782608695652,3.8867924528302,3.93,6.0266330275229,5.28625,5.66
11,0.3552927927927928,74,p13,Serpentinization,3,5,4.56,0.0,2.28,300,600,450,5,6,5.5,0,1,0.5,67,23,1,0,1.555,72.89,3.175,362.8,4.1190476190476,3.6086956521739,3.86,3.5852807017544,3.0866666666667,3.34
12,0.24970238095238098,70,p14,Hot springs/geysers,3,10,4.56,0.0,2.28,400,700,550,5,5,5.0,0,1,0.5,61,25,1,0,1.472,71.34,3.383,301.29,3.9779411764706,3.8676470588235,3.92,3.2031346153846,2.7236666666667,2.96
13,0.5375,40,p15,Balck/white smokers,3,10,4.56,0.0,2.28,400,700,550,5,6,5.5,0,3,1.5,32,18,1,0,1.195,18.72,2.225,173.83,4.1052631578947,3.9166666666667,4.01,4.7527666666667,4.514,4.63
14,0.1911231884057971,92,p16,"Low-T aqueous alteration, Hadean",3,3,4.56,4.0,4.28,250,350,300,5,6,5.5,0,3,1.5,83,21,1,0,1.784,120.8,4.063,353.5,4.5135135135135,3.8023255813953,4.16,2.6207777777778,2.5955319148936,2.61
15,0.25376157407407407,72,p17,Marine authigenesis,3,10,4.56,0.0,2.28,250,350,300,5,6,5.5,0,3,1.5,51,13,1,0,1.635,74.057,3.51,392.95,4.8173076923077,4.6666666666667,4.74,2.813,2.5033333333333,2.66
16,0.2222222222222222,3,p18,Freezing,3,10,4.56,0.0,2.28,250,270,260,5,5,5.0,-4,-3,-3.5,4,7,1,0,1.394,31.0,2.834,116.75,,,,1.44425,1.74,1.59
17,0.2698412698412698,147,p19,Granitic intrusive rocks,4,10,4.55,0.0,2.28,700,1100,900,6,8,7.0,3,6,4.5,143,39,0,0,1.633,49.47,3.112,158.98,5.9798387096774,5.7142857142857,5.85,3.6538018867925,3.45,3.55
18,0.18166666666666667,50,p20,Acidic volcanic rocks,4,10,4.55,0.0,2.28,700,1100,900,5,6,5.5,0,1,0.5,45,22,0,0,1.642,40.911,2.921,114.66,5.5681818181818,5.4736842105263,5.52,3.33125,3.2028571428571,3.27
19,0.2468354430379747,79,p21,Chemical precipitation,3,10,4.56,0.0,28.0,250,350,300,5,7,6.0,0,3,1.5,79,28,1,0,1.63,54.81,3.745,362.13,3.8402777777778,3.7575757575758,3.8,2.9260571428571,2.7674285714286,2.85
20,0.195556640625,256,p22,"Low-T aqueous alteration, Post-Hadean",3,10,4.0,0.0,2.0,250,350,300,5,6,5.5,0,3,1.5,247,40,1,0,1.772,82.327,3.884,314.61,4.8668831168831,4.2635135135135,4.57,3.1613387978142,2.9613265306122,3.06
21,0.27240470397404704,411,p23,"Subaerial aqueous alteration, Anoxic",3,10,4.56,2.5,3.53,250,350,300,5,6,5.5,0,3,1.5,398,51,1,0,1.663,57.918,3.366,243.25,4.8390977443609,4.5550847457627,4.7,3.9016656626506,3.5131111111111,3.71
22,0.26773049645390073,94,p24,Terrestrial authigenesis,3,10,4.56,0.0,2.28,250,350,300,5,6,5.5,0,1,0.5,74,21,1,0,1.561,80.5,3.232,288.77,4.6689189189189,4.2162162162162,4.44,2.9551166666667,2.5354285714286,2.75
23,0.2499031007751938,215,p25,Evaporite mineraization,3,10,4.56,0.0,2.28,250,350,300,5,5,5.0,-4,-2,-3.0,210,30,1,0,1.654,70.475,3.842,391.75,3.7172619047619,3.6948051948052,3.71,2.5340351351351,2.3723076923077,2.45
24,0.428912213740458,262,p26,Detrital deposition,4,10,4.5,0.0,2.25,250,350,300,5,5,5.0,-3,-1,-2.0,250,52,1,0,1.263,29.352,2.193,110.02,5.8148148148148,5.7087912087912,5.76,6.8432806122449,5.1060869565217,5.97
25,0.25757575757575757,11,p27,Radioactive alteration,4,10,4.5,0.0,2.25,250,350,300,5,6,5.5,6,9,7.5,9,6,0,0,1.513,105.7,5.57,1797.6,4.2,4.0,4.1,5.659,6.42,6.04
26,0.37121212121212116,11,p28,Phot-alteration,4,10,4.5,0.0,2.25,250,350,300,5,5,5.0,-3,1,-1.0,10,14,0,0,1.412,18.22,2.656,92.037,3.2,3.125,3.16,3.6018,3.134,3.4
27,0.4739583333333333,12,p29,Lightning alteration,3,10,4.56,0.0,2.28,2000,4000,3000,5,5,5.0,-8,-7,-7.5,9,11,0,0,0.781,4.66,1.253,27.705,4.5,3.8333333333333,4.17,5.1917142857143,,5.19
